Barkod;Model Kodu;stockID;Name;Price;Stok
8682125480633;8682125480633;8682125480633;Organik Yo_urtsuz Bebek Tarhanası 300gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);381.0;2158
buyuk-elmasuyu-1385;buyuk-elmasuyu-1385;buyuk-elmasuyu;Organik Elma Suyu Konsantresi 1300gr (PEST_S_T ANAL_ZL_);454.0;5671
özler-5;özler-5;özler-5;Organik Keçiboynuzu & Dut & Üzüm Özü 3'lü 315 ml (PEST_S_T ANAL_ZL_);719.9;1756
bey-tonik-3;bey-tonik-3;bey-tonik-3;Organik Bey Tonik 3*lü 500ml (ZERDEÇALLI-ZENCEF_LL_) (PEST_S_T ANAL_ZL_);1350.0;1879
bey-arpa-300;bey-arpa-300;bey-arpa-300;Organik Sütsüz Yumurtasız Arpa _ehriye 300gr;239.5;2393
8682125480589;8682125480589;8682125480589;Organik Sebzeli Burgu Makarna %35 Sebzeli 240gr (AFLATOKS_N VE PEST_S_T ANAL_ZL_);205.0;15112
bey-organik-soslar-1;bey-organik-soslar-1;bey-organik-soslar-1;Organik Soslar Paketi 2'li;650.0;2994
86821254801691;86821254801691;86821254801691;Organik Içilebilir Çikolata 220gr (PEST_S_T ANAL_ZL_) (10 KUPA IÇ_N);218.0;6650
8682125480275;8682125480275;8682125480275;Organik Kekik Suyu 200ml;244.9;15850
8682125480206;8682125480206;8682125480206;Organik Barbekü Sos 250cc;398.9;1966
bey-kı_-çorba-1;bey-kı_-çorba-1;bey-kı_-çorba-1;Organik Çabuk Kı_ Çorbası 10'lu (PEST_S_T VE AFLATOKS_N ANAL_ZL_);249.0;3786
45306009A;TYC00230351692;45306009A;Organik Bebek Tarhanası 400gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);319.4;2345
86821254801521;86821254801521;86821254801521;Organik Havuçlu Kabak Çorbası 160gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);201.01;13539
8682125488592;8682125488592;8682125488592;Organik 9 Sebzeli Çorbam 160gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);249.0;9160
868212548576;868212548576;868212548576;Organik Artizan Çikolata 40gr (VEGAN);249.9;7628
8682125482514;8682125482514;8682125482514;Organik Artizan Çikolata %100 Bitter 40gr;249.9;9315
8682125482484;8682125482484;8682125482484;Organik Artizan  Çikolata  Sütlü 40gr;249.9;1992
8682125482477;8682125482477;8682125482477;Organik Artizan Çikolata Sütlü Fındıklı 40gr;249.9;2669
8682125481128;8682125481128;8682125481128;ORGAN_K Sebzeli Çocuk Makarna - %35 SEBZE 150gr (PEST_S_T ve  AFLATOKS_N ANAL_ZL_);243.9;2561
8682125487946;8682125487946;8682125487946;Organik Tam Bu_day Kesme Baby Eri_te;149.0;1765
8682125482408;8682125482408;8682125482408;ORGAN_K Bey Tonik (ZERDEÇALLI-ZENCEF_LL_) 185gr (PEST_S_T ANAL_ZL_);619.9;4053
8680419375573;8680419375573;8680419375573;Organik Nohut 1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);389.0;1969
bey-elmasuyu-konsantresi-5;bey-elmasuyu-konsantresi-5;bey-elmasuyu-konsantresi-5;Organik Elma Suyu Konsantresi 685gr (PEST_S_T ANAL_ZL_);302.38;1478
93750789375191;93750789375191;93750789375191;Organik Bebek Tarhanası 500gr / Bebek Irmi_i 350gr / Ru_eym 185gr / Pirinç Unu 500gr 4'lü Paket;920.0;4994
BEY-D_NO-1;BEY-D_NO-1;BEY-D_NO-1;Organik Miks Minik Dinozor Gücü 200ml (PEST_S_T VE A_IR METAL ANAL_ZL_);510.0;6470
beyorganik-muhallebi-200;beyorganik-muhallebi-200;beyorganik-muhallebi-200;Organik Bebek Muhallebisi (YULAFLI) 200gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);341.0;9086
BEBEK-_RM_K200-2;BEBEK-_RM_K200-2;BEBEK-_RM_K200-2;Organik Bebek Irmik 200gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);84.9;4379
8682125484921;8682125484921;8682125484921;Vanilya 100gr (PEST_S_T VE A_IR METAL ANAL_ZL_);520.0;9689
8682125484891;8682125484891;8682125484891;Hurma Suyu Konsantresi 248gr (PEST_S_T ANAL_ZL_);210.0;2716
KEÇ_-BOYNUZU-UNU1;KEÇ_-BOYNUZU-UNU1;KEÇ_-BOYNUZU-UNU1;Organik Keçiboynuzu Unu 250gr;240.0;1106
BNEKS123;BNEKS123;;Organik Nar Ek_isi 350gr (%100 NAR);270.0;1728
